word_id,word
83,lừa
320,có thể thấy rõ
335,được làm cho bớt
395,có tài năng
466,có lông tơ
471,bị cưa ngắn
563,dễ kích thích
612,lớn
642,để phòng vệ
649,phía gió
663,có bề mặt trơn
740,mỏng manh
867,dạng sin
947,có tinh thần
1012,chồng chất
1021,có màu xám
1064,đui mắt
1169,gọi là mềm
1271,có tài xử trí
1371,có ý nghĩa
1621,sợ
1636,được cầy bừa
1649,dân sự
1657,được gói ghém
1659,được gói ghém lại
1672,không đáng
1713,được cứu
1876,dễ nắn
2010,cùng
2066,xấu nhất
2151,mong manh
2214,có trách nhiệm
2244,không chuẩn bị trước
2246,có kiến thức nông cạn
2300,tối
2331,bị bổ
2440,không sống động
2490,sinh đôi cùng trứng
2558,không đáng tin
2612,được giữ gìn
2696,không được ủng hộ
2710,không hợp pháp
2745,đã dành trước
2808,dư
2915,có một tai
2968,được sơn
3030,không bị vỡ
3091,được vẹn nguyên
3094,há
3124,tinh thần thể thao
3125,thượng võ
3207,đứng đầu
3268,tẹt và hếch
3457,không có sẵn
3481,về phía trước
3484,ở trước
3547,được phủ
3549,được trùm
3550,bị trùm
3603,được thiên vị
3705,có bụng phệ
3706,có bụng to
3707,có bụng mỡ
3811,nổi tiếng
3847,hết
3853,bị bệnh tâm thần
3868,được che
3870,được giấu giếm
3871,được che đậy
3879,bị bưng bít
3883,đầy tiếng nói
3891,thành thật
3904,có số
3959,cáu điên
4001,có tiếng xấu
4048,biết chữ
4068,có ý nghĩa
4076,có tính kim loại
4087,ở phía đuôi
4088,ở phần đuôi
4174,rắn
4188,bỉ ổi
4194,kin hồn
4227,gần
4267,còn phôi thai
4269,trong phôi thai
4270,còn trong phôi thai
4298,đáng quý mến
4319,sẵn có
4330,không vĩnh viễn
4333,gày còm
4360,không xấu hổ
4382,dang dở
4385,dở dang
4402,rối tung
4405,gấp ba lần
4483,được hưởng đặc quyền
4499,dẫn đầu
4560,căn
4566,không cỡ
4608,sợ hãi
4639,có tính chất kéo bè kéo đảng
4694,không chuẩn bị
4723,có vi-rút
4759,có trang trí
4763,chán
4769,đầy lo âu
4779,riêng
4780,tư
4812,hợp
4875,ác
4897,tiến bộ
4941,gốc
4966,cùng loại
4998,nặng nề
5021,có bao phấn
5074,chưa điều trị
5077,màu xám đá
5148,bất khả xâm phạm
5149,không thể xâm phạm
5183,ác nghiệt
5211,lớn nhất
5216,rời ra
5219,lớn
5299,dễ xoa dịu
5303,có vị chanh
5305,mạnh
5324,có chất liệu bạc
5348,có kinh nghiệm
5349,giàu kinh nghiệm
5394,có gai
5437,có tính chất vô sanh
5455,màu hoe
5459,có thiện chí
5460,có thiện ý
5467,chưa định
5482,bị nhiễm trùng
5486,bị hắt hủi
5509,hay tưởng tượng
5552,trên sân nhà
5576,theo pháp luật
5614,có kế hoạch
5615,có sắp xếp
5652,ở trên cao
5684,chưa được tấn phong
5708,gây ngột ngạt
5733,có ngăn
5736,hạ
5763,ngang
5767,nghĩa hiệp
5780,bất diệt
5802,giật gân
5821,xấu
5828,mát rượi
5841,như bột
5843,khó hiểu
5849,cao cấp
5853,siêu hạng
5858,tột bậc
5867,quanh co
5868,nói quanh
5878,khả lường
5879,đo được
5881,có thể đo lường
5883,trục trặc
5887,frozen
5888,nước
5902,không lặn được
5920,không ngạc nhiên
5934,thiếu cá tính
5952,chưa từng trải
5955,thiếu trải nghiệm
5956,vụng
5968,không tương ứng
5980,tính toán
5998,không có thẩm quyền
6015,chân thành
6035,ác
6037,đen
6040,nhỏ
6044,có mức độ
6058,tầm cao
6061,không nghe được
6068,không khoa học
6071,không có tính khoa học
6078,trắng
6106,không đông
6118,bản thổ
6123,thổ dân
6124,văn hóa bản địa
6137,không kéo giãn
6145,đã bán
6150,ra ngoài
6164,thon
6170,vương giả
6172,dễ đáng ứng
6219,quang mây
6220,quang quẻ
6223,sáng
6224,sáng sủa
6228,trong sáng
6234,có tiếng xấu
6264,nguy hiểm
6275,nhẹ
6278,chung thủy
6284,lờ mờ
6330,nhiều dầu mỡ
6531,rối loạn
6651,trước nhất
6816,sau này
6844,tốt tính
6865,làm săn chắc da
6933,đi kèm
7003,mang bầu
7052,có tính dẫn
7075,nói dịu dàng
7076,nói thỏ thẻ
7092,phía đông
7512,có tài năng âm nhạc
7564,mẹ
7745,có tính di trú
7747,miền Đông Mĩ
7775,bên ngoài
7776,ở ngoài
7800,có hình thuôn
7808,mùi thiu
7810,có mùi ôi thiu
7812,có tính bán dẫn
7825,hiến pháp
7838,thuần khiết
7954,bị sưng lên
7955,bị sưng tấy
7958,bị đỏ tấy
7997,có dấu
8016,giàu thông tin
8018,đơ
8103,tất cả
8112,gần
8168,có độc
8249,chật
8253,đầy
8286,dễ cáu
8302,phủ đầy sương giá
8408,ít hơn
8430,ẩn
8488,có tính
8521,phân tích tính
8568,có quyền tối cao
8616,không bão hòa
8631,có tính axit
8666,nóng
8758,nhiều nhất
8799,đầy đủ
8810,mềm
8829,đúng
8868,đã có đạn
8914,lơ là
8946,mù sương
8994,thay đổi liên tục
9047,thắt
9063,cương lên
9078,hơn
9089,bị tước quyền công dân
9312,có tính chất lang băm
9328,có tư tưởng rộng rãi
9329,có tư tưởng khoáng đạt
9330,có tư tưởng phóng khoáng
9344,bị sung công
9374,mằn mặn
9409,át
9484,đã được xử lý
9494,hòa hợp với
9532,ở hậu trường
9542,không tròn
9571,có gu thẩm mĩ
9572,có gu thẩm mỹ
9573,có khiếu thẩm mĩ
9574,có khiếu thẩm mỹ
9576,có mắt thẫm mỹ
9577,có thẩm mĩ
9578,có thẩm mỹ
9579,có óc thẩm mĩ
9580,có óc thẩm mỹ
9587,không được định rõ
9591,không được nói rõ
9618,linh thiêng
9671,có tay
9672,không quan trọng
9675,không điều kiện
9684,dạng hình cầu
9685,hình cầu
9687,séc khống
9691,bị bóp méo
9692,thường
9694,bình thường
9696,không quan trọng
9699,thuộc thành phần vị ngữ
9700,có chức năng vị ngữ
9701,làm vị ngữ
9712,nẩy
9722,được dạy
9730,bừa bãi
9751,lai căng
9756,giấu tên
9761,trái với phép tắc
9776,dễ dàng
9778,nghi vấn
9780,bị nghi vấn
9781,quy định
9783,định sẵn
9784,bất động
9786,bướng
9793,ngang
9804,cục mịch
9805,bất lương
9806,bất chính
9817,suốt ngày suốt đêm
9818,cả ngày lẫn đêm
9822,rối rắm
9823,hứa
9825,xán lạn
9827,xốp
9837,riêng mình
9839,dễ bị mua chuộc
9840,dễ hối lộ
9842,tế nhị
9844,dè dặt
9846,nứt nẻ
9852,định trước
9853,được định trước
9861,gượng gạo
9870,đường
9874,có cho đường
9878,đơn kháng thể
9886,không rõ nét
9887,không rõ ràng
9889,không thể sờ được
9891,không sống thành đàn
9892,không sống thành bầy
9894,không thể tìm lại
9897,không bị gỉ
9898,không han gỉ
9899,không bị han
9903,có hiệu lực hồi tố
9907,bừa bãi
9909,được cài trước
9917,không chắc chắn
9922,không quyết đoán
9926,lần chần
9928,nao núng
9929,nghi ngại
9932,thiếu quyết đoán
9933,thiếu quả quyết
9936,tái tạo được
9939,đủ
9942,giật gấu vá vai
9945,không được hộ tống
9946,không được tháp tùng
9949,không bị trấn áp
9952,dư thừa
9966,vô giá trị
9970,uy
9973,có uy
9974,công hiệu
9976,có công hiệu
9977,mê muội
9979,không được làm sáng tỏ
9981,không được giác ngộ
9985,vi phạm
9988,sai quy tắc
9989,không bị chiếm
9991,có tỉ lệ xích lớn
9992,được vẽ theo tỉ lệ lớn
9995,không dễ quy phục
9997,sớm
9999,nội sinh
10004,không hấp thụ
10009,được chạm khắc
10012,được ghi lại
10016,riêng lẻ
10017,riêng biệt
10019,theo chiều hướng tích cực
10020,có tính tích cực
10025,không bị tình nghi
10029,không bị nghi
10030,không bị nghi ngờ
10035,lắng
10038,chưa chín kĩ
10039,lòng đào
10041,sống
10068,đáng kính
10069,khả kính
10076,đẫm máu
10080,nhiệt tình
10082,không ngang tài
10084,không ngang tài ngang sức
10097,méo mó
10101,vô sinh
10104,ngạt
10107,bức bối
10109,đúng
10112,không có nhận thức
10116,biến đổi
10118,đã được chỉnh sửa
10119,đã được thay đổi
10121,đổi thay
10127,không cải tiến
10128,không cải thiện
10129,chưa cải tiến
10130,chưa cải thiện
10131,chưa cải tạo
10132,trong
10135,thanh khiết
10138,hư
10141,xấu
10146,thối rữa
10149,tây vị
10150,không công bằng
10153,thiếu công tâm
10156,sạch sẽ
10162,láu
10165,không dễ bị lừa
10167,chối tai
10175,cẩn trọng
10176,cẩn thận
10181,viễn
10183,không đáng để ý
10184,không đáng chú ý
10185,không gây chú ý
10186,không nổi bật
10188,mờ
10190,mờ nhạt
10200,không tranh đua
10201,không có tính cạnh tranh
10204,không mang tính tranh đua
10208,không phải lối
10214,đầy sao
10228,có lát
10233,bất lực
10234,bất khả
10238,không vượt qua được
10239,không thể khắc phục
10240,phơi phới
10241,khỏe mạnh
10243,nhiều năng lượng
10245,đáng tin tưởng
10249,sáo
10250,rỗng
10252,sáo rỗng
10254,vô phương
10261,sướng
10272,căng tràn
10273,căng mọng
10277,sắp tìm được
10282,cơ thể
10283,nhục dục
10287,trần tục
10300,không để thăm dò
10302,thổi từ hướng đông
10303,đông
10304,không địa chỉ
10305,không ghi địa chỉ
10310,ưa mắt
10319,chịu nước
10325,dễ tính
10327,không khó tính
10328,không cầu kì
10330,không có trí thức
10331,không hiểu biết rộng
10333,bậy bạ
10336,tục
10339,trừu tượng
10341,không bị nhiễm bẩn
10346,quyền lực
10348,không nên làm
10349,không nên
10352,nên tránh
10361,cảm động
10362,thương tâm
10363,làm mủi lòng
10366,được tuyển
10367,được lọc
10372,không sủi
10381,kích dục
10390,không có tính chất khen ngợi
10399,hoang
10401,bị bỏ rơi
10402,bị ruồng bỏ
10403,vô chủ
10415,không thuận tiện
10416,không bị kích thích
10417,không kích thích
10421,phiền
10422,phiền hà
10423,phiền nhiễu
10424,phiền phức
10427,rắc rối
10428,tối nghĩa
10432,đặt hướng
10433,tạo hướng
10434,không dễ cảm động
10435,không dễ xúc động
10448,thổi từ hướng tây
10458,bên phải
10474,gốc
10485,không quen
10486,không có thói quen
10497,không bị kiểm tra
10502,tầm thường
10504,nhỏ bé
10506,tận tâm
10513,dương
10519,không mong
10521,thông thái rởm
10524,mô phạm
10525,kinh viện
10526,tầm chương trích cú
10535,không vững
10536,không ổn định
10538,run rẩy
10540,được
10541,ổn
10543,thất thường
10545,ít xảy ra
10550,thé
10552,the thé
10556,không thiêng
10558,không anh linh
10562,không liên kết
10567,có đệm
10571,không tiền tệ
10572,không dùng tiền
10575,không nhấn
10576,không nhấn mạnh
10578,không được nhấn mạnh
10579,không có hàm
10589,dựa
10593,đối địch
10594,thù địch
10595,chắc
10596,chắc chắn
10598,không thể tranh cãi
10601,bị động
10602,không chủ động
10603,không tích cực
10604,thiếu chủ động
10605,thiếu tích cực
10607,kín
10608,mật
10609,bí mật
10610,kín đáo
10614,mang tính tiêu cực
10615,có tính chất tiêu cực
10617,không thay thế được
10618,khó thở
10619,tắt thở
10620,tắc thở
10626,không đều đặn
10628,nghèo
10631,kém tài nguyên
10634,không bị cạn
10635,không bị rút hết
10636,không bị tháo hết
10637,không bị rút cạn
10639,sản xuất thủ công
10640,không liên quan
10645,trần
10646,trần trụi
10659,ở ngoài
10663,không bị tổn hại
10664,không bị hư hại
10671,mê
10674,không vững
10676,không bền vững
10681,không tin cậy
10685,đã dạy thuần
10687,không ân hận
10697,đạm bạc
10702,dềnh dàng
10703,khoan thai
10705,thong dong
10711,không nóng
10719,đầu lòng
10720,không nhiệt
10721,không có nhiệt
10723,khó hiểu
10725,không thể giải thích
10731,không có nhau thai
10732,mù mịt
10733,tăm tối
10737,u ám
10738,đen tối
10739,ảm đảm
10742,hợp
10754,nhẹ
10763,không trắng
10766,da không trắng
10767,có da màu
10778,kín gió
10783,nhiều phía
10786,nhiều góc cạnh
10787,đặt và định quyền lợi nhiệm vụ
10794,bất lịch sự
10798,không tế nhị
10813,bừng bừng lửa giận
10818,hở hang
10829,rã rời
10830,sức cùng lực kiệt
10831,gây thiện cảm
10839,quý
10848,kẻ tám lạng người nửa cân
10852,lưu niên
10853,lâu năm
10855,liên tiếp
10863,có tính báng bổ
10864,có tính xúc phạm
10865,có tính chất báng bổ
10866,mang tính chất báng bổ
10869,chua như giấm
10870,có vị giấm
10876,không bẻ cong được
10878,không uốn cong được
10881,quy mô
10888,đã sử dụng
10889,đã dùng rồi
10897,hệ trọng
10901,mang tính quyết định
10906,trật lất
10927,ảo não
10930,giống hề
10931,như hề
10936,phôi thai
10937,hay thù hằn
10938,hằn học
10940,cứng cỏi
10943,hay cầu nguyện
10946,ngoan đạo
10948,thích cầu nguyện
10960,quanh năm
10968,tiền nhiệm
10969,nguyên
10972,giao cấu được
10977,khoan khoái
10979,thú vị
10980,vừa ý
10984,đàn ông
10985,nam giới
10988,ngôn ngữ
10989,mang tính ngôn ngữ
10990,cấp cao
10991,cao cấp
11002,son
11003,may bất ngờ
11004,may mắn bất ngờ
11006,của nhân dân
11008,đáng nguyền rủa
11009,khốn nạn
11014,quái dị
11026,mơ màng
11033,ngất
11035,chua
11036,lên men
11037,thiu
11038,ôi
11041,bị chua
11047,cần thiết
11048,thiết yếu
11050,thuộc giai cấp tư bản
11051,thuộc về giai cấp tư sản
11052,bướng
11059,không dạy được
11061,ương bướng
11063,năm một
11069,chỉ huy
11085,tiểu
11086,thiểu
11087,nhỏ bé
11093,trừ
11094,âm
11103,trung thành
11106,không thuộc máy móc
11107,không thuộc cơ giới
11112,có động lực
11118,bị thương
11120,bị tổn thương
11121,chấn thương
11122,thương tổn
11123,tổn thương
11124,đen trắng
11125,không màu
11126,kết hợp
11127,phối hợp
11136,cướp bóc
11144,rắn rỏi
11146,bê bết
11150,eo hẹp
11154,sơ sài
11155,ít
11156,ít oi
11162,nhiều nội dung
11163,nhiều mục
11166,hút
11168,có lực hấp dẫn
11170,dễ thấm qua
11174,kết luận
11176,kín đáo
11178,an toàn
11183,đáng tin cậy
11184,ròng
11185,thuần nhất
11198,thèm khát
11205,mang tính chất sân khấu
11206,có điệu bộ sân khấu
11207,kĩ
11208,kỹ
11209,kĩ lưỡng
11210,kĩ càng
11211,cẩn thận
11213,tỉ mỉ
11214,tỷ mỉ
11219,thiếu thẩm mĩ
11221,không có thẩm mĩ
11222,không có thẩm mỹ
11227,yếu kém
11232,chưa gọt giũa
11233,chưa mài giũa
11234,ở bên trái
11236,về bên trái
11240,trông mới
11245,sang trọng
11256,vũ trang
11257,có vũ trang
11262,có hạn
11263,có ích
11266,đa kháng thể
11269,hoang dã
11272,mạnh
11280,bằng nhạc cụ
11281,phô trương
11298,dễ mắc lừa
11299,cùng họ cha
11301,chân
11303,có chân
11304,có chi
11306,không được trồng trọt
11307,tắt
11308,không hoạt động
11309,được tỉa
