synset_id,gloss
1,"tính chất thiếu nước, không thuận lợi cho cây trồng"
2,"tính chất không có sự khác biệt về số lượng, chất lượng"
3,"tính chất yêu thương giúp đỡ người khác một cách chân thành"
4,"tính chất có màu sắc và giá trị như vàng"
5,"tính chất không đạt được kết quả mong muốn trong thi đấu"
6,"tính chất khoe khoang thái độ hơn người khác"
7,"tính chất có nhiều màu sắc tươi sáng bắt mắt"
8,"tính chất thích nghi với môi trường sống bằng ăn sâu bọ"
9,"tính chất không có chiến tranh, bạo lực, gây xáo trộn"
10,"tính chất chỉ có một đầu, một phía"
11,"tính chất còn non nớt về tuổi đời"
12,"tính chất có nhiều công dụng khác nhau"
13,"tính chất thể hiện rõ nét một nhóm đối tượng"
14,"tính chất đầy nhiệt huyết, năng lượng, thể hiện mạnh mẽ"
15,"tính chất có từ lâu đời và được lưu giữ"
16,"tính chất ở độ tuổi giữa thanh niên và người già"
17,"tính chất cư xử đúng mực thể hiện sự tôn trọng người khác"
18,"tính chất cố ý tạo niềm tin sai lệch ở người khác"
19,"tính chất khác biệt so với điều thường thấy hoặc mong đợi"
20,"tính chất dễ tạo cảm tình và mối quan hệ tốt"
21,"tính chất dựa trên suy luận, không phải thực tế"
22,"tính chất thiếu sức sống do kiệt quệ về thể chất hoặc tinh thần"
23,"tính chất thân nhiệt tăng nhẹ so với bình thường"
24,"tính chất tạo ra ham muốn tình dục hoặc sự chú ý mạnh"
25,"tính chất ở trạng thái không mở ra của vật"
26,"tính chất độc tài, áp bức bằng sức mạnh quân sự"
27,"tính chất bao gồm tất cả thành phần không thiếu sót"
28,"tính chất chưa bị hư hại, vẫn sử dụng được"
29,"tính chất chuyên môn hóa cao trong thao tác thực hiện"
30,"tính chất thiếu tốc độ, diễn ra một cách trì trệ"
31,"tính chất không còn gắn kết, rời rạc về mặt tổng thể"
32,"tính chất không tương đồng hoàn toàn với một sự vật hiện tượng"
33,"tính chất vượt quá kích thước thông thường rất nhiều"
34,"tính chất xảy ra không lâu so với hiện tại"
35,"tính chất chứa nhiều nước hơn chất cần có"
36,"tính chất không có điểm dừng, kéo dài vô hạn"
37,"tính chất bị đánh đau đến mức suy yếu thể chất"
38,"tính chất gợi cảm xúc thẩm mỹ và giàu hình ảnh"
39,"tính chất có thể biến dạng rồi trở lại trạng thái ban đầu"
40,"tính chất không còn sự sống, đã qua đời"
41,"tính chất phản ứng và hiểu vấn đề một cách mau lẹ"
42,"tính chất giữ nguyên vị trí nhờ lực hút giữa hai vật"
43,"tính chất có lợi cho sức khỏe và thể chất"
44,"tính chất bị vi sinh vật xâm nhập và gây hại."
45,"tính chất có quá nhiều việc cần phải làm"
46,"tính chất xảy ra vào giai đoạn cuối cùng của quá trình"
47,"tính chất không bằng phẳng, có nhiều điểm nhô cao và lõm xuống trên bề mặt"
48,"tính chất cùng phát triển từ một nguồn nuôi dưỡng"
49,"tính chất thuộc về giai đoạn giữa cổ đại và cận đại"
50,"tính chất không còn phù hợp với hiện tại"
51,"tính chất thiếu trải nghiệm, tin tưởng mọi thứ dễ dàng"
52,"tính chất thật từ trong tâm, không dối trá hay gian xảo"
53,"tính chất có khả năng hút hoặc đẩy vật khác do điện"
54,"tính chất giữ gìn quá mức tiền bạc của cải bản thân"
55,"tính chất dễ dàng nhận biết bằng giác quan"
56,"tính chất xảy ra ngoài dự tính hoặc mong đợi"
57,"tính chất bớt căng thẳng, khó chịu về mặt cảm xúc hoặc thể chất"
58,"tính chất đi ngược lại và gây hại cho cách mạng"
59,"tính chất liên quan đến sự kiện mới xảy ra gần đây"
60,"tính chất cây cối mọc dày đặc che khuất tầm nhìn"
61,"tính chất lặp lại vào buổi tối"
62,"tính chất mất khả năng đứng vững sau tác động"
63,"tính chất cần trả một khoản tiền theo thỏa thuận"
64,"tính chất cần được thanh toán theo thỏa thuận"
65,"tính chất được nhiều người biết đến rộng rãi"
66,"tính chất chúc xuống do tác động của trọng lực"
67,"tính chất thiếu trật tự dễ thay đổi ngoài dự kiến"
68,"tính chất gây hại người khác bằng thủ đoạn tàn nhẫn"
